N,bst size,bst maxHeight, bst aveHeight,log(size),sqrt(size),log(N),sqrt(N)
10000,2000,23,13,7.60090246,44.72135955,9.210340372,100
20000,2000,20,12,7.60090246,44.72135955,9.903487553,141.4213562
30000,2000,20,12,7.60090246,44.72135955,10.30895266,173.2050808
40000,2000,20,12,7.60090246,44.72135955,10.59663473,200
50000,2000,19,12,7.60090246,44.72135955,10.81977828,223.6067977
60000,2000,19,12,7.60090246,44.72135955,11.00209984,244.9489743
70000,2000,20,12,7.60090246,44.72135955,11.15625052,264.5751311
80000,2000,22,12,7.60090246,44.72135955,11.28978191,282.8427125
90000,2000,24,12,7.60090246,44.72135955,11.40756495,300
100000,2000,25,12,7.60090246,44.72135955,11.51292546,316.227766
110000,2000,24,12,7.60090246,44.72135955,11.60823564,331.662479
120000,2000,30,13,7.60090246,44.72135955,11.69524702,346.4101615
130000,2000,33,14,7.60090246,44.72135955,11.77528973,360.5551275
140000,2000,30,14,7.60090246,44.72135955,11.8493977,374.1657387
150000,2000,30,13,7.60090246,44.72135955,11.91839057,387.2983346
160000,2000,34,13,7.60090246,44.72135955,11.98292909,400
170000,2000,37,14,7.60090246,44.72135955,12.04355372,412.3105626
180000,2000,39,14,7.60090246,44.72135955,12.10071213,424.2640687
190000,2000,44,16,7.60090246,44.72135955,12.15477935,435.8898944
200000,2000,44,16,7.60090246,44.72135955,12.20607265,447.2135955
210000,2000,44,17,7.60090246,44.72135955,12.25486281,458.2575695
220000,2000,47,18,7.60090246,44.72135955,12.30138283,469.041576
230000,2000,48,19,7.60090246,44.72135955,12.34583459,479.5831523
240000,2000,43,20,7.60090246,44.72135955,12.3883942,489.8979486
250000,2000,46,19,7.60090246,44.72135955,12.4292162,500
260000,2000,50,20,7.60090246,44.72135955,12.46843691,509.9019514
270000,2000,52,22,7.60090246,44.72135955,12.50617724,519.6152423
280000,2000,51,23,7.60090246,44.72135955,12.54254488,529.1502622
290000,2000,52,23,7.60090246,44.72135955,12.5776362,538.5164807
300000,2000,51,24,7.60090246,44.72135955,12.61153775,547.7225575
310000,2000,53,24,7.60090246,44.72135955,12.64432758,556.7764363
320000,2000,56,26,7.60090246,44.72135955,12.67607627,565.6854249
330000,2000,57,25,7.60090246,44.72135955,12.70684793,574.4562647
340000,2000,59,27,7.60090246,44.72135955,12.7367009,583.0951895
350000,2000,56,26,7.60090246,44.72135955,12.76568843,591.6079783
360000,2000,53,25,7.60090246,44.72135955,12.79385931,600
370000,2000,52,23,7.60090246,44.72135955,12.82125828,608.276253
380000,2000,50,22,7.60090246,44.72135955,12.84792653,616.4414003
390000,2000,49,21,7.60090246,44.72135955,12.87390202,624.4997998
400000,2000,50,22,7.60090246,44.72135955,12.89921983,632.455532